,Ti,Ta,Tm,Q_vent,Q_heat,Q_solar
2026-01-02 13:00:00,13.27,8.1,12.24,-302.88,1060,811.24
2026-01-02 14:00:00,13.07,7.43,12.1,-291.97,1060,712.64
2026-01-02 15:00:00,12.67,7.1,11.49,-287.1,1060,593.95
2026-01-02 16:00:00,11.58,6.13,10.31,-277.82,1060,410.7
2026-01-02 17:00:00,11.27,5.89,10.4,-276.08,1060,263.41
2026-01-02 18:00:00,9.5,4.37,8.37,-122.25,50,66.55
2026-01-02 19:00:00,8.99,4.15,7.84,-110.48,50,20.47
2026-01-02 20:00:00,8.01,3.19,6.95,-98.34,50,0
2026-01-02 21:00:00,7.67,2.75,6.54,-96.34,50,0
2026-01-02 22:00:00,7.71,2.93,6.94,-96.29,50,0
2026-01-02 23:00:00,7.9,3.19,6.95,-94.6,50,0
2026-01-03 00:00:00,6.61,1.9,5.71,-72.86,50,0
2026-01-03 01:00:00,6.14,1.52,5.25,-70.08,50,0
2026-01-03 02:00:00,6.82,2.23,5.86,-76.09,50,0
2026-01-03 03:00:00,7.87,3.11,6.86,-81.63,50,0
2026-01-03 04:00:00,8.21,3.19,7.13,-81.65,50,0
2026-01-03 05:00:00,7.15,2.19,6.1,-74.96,50,18.4
2026-01-03 06:00:00,8.28,3.44,7.14,-73.02,50,32.99
2026-01-03 07:00:00,9.13,3.88,7.93,-78.56,50,31.61
2026-01-03 08:00:00,9.86,4.73,8.74,-283.03,1060,281.3
2026-01-03 09:00:00,11.02,6.13,9.93,-286.2,1060,403.38
2026-01-03 10:00:00,12,7.01,10.89,-291.85,1060,620.37
2026-01-03 11:00:00,12.49,7.41,11.4,-297.99,1060,754.09
2026-01-03 12:00:00,13.25,8.31,12.36,-304.13,1060,797.2
2026-01-03 13:00:00,13.28,8.06,12.25,-302.43,1060,815.57
2026-01-03 14:00:00,13.08,7.39,12.11,-291.52,1060,716.95
2026-01-03 15:00:00,12.68,7.06,11.5,-286.65,1060,597.91
2026-01-03 16:00:00,11.59,6.09,10.32,-277.37,1060,414.92
2026-01-03 17:00:00,11.28,5.85,10.41,-275.63,1060,267.48
2026-01-03 18:00:00,9.51,4.33,8.38,-121.8,50,70.84
2026-01-03 19:00:00,9,4.11,7.85,-110.03,50,24.76
2026-01-03 20:00:00,8.02,3.15,6.96,-97.89,50,0
2026-01-03 21:00:00,7.68,2.71,6.55,-95.89,50,0
2026-01-03 22:00:00,7.72,2.89,6.95,-95.84,50,0
2026-01-03 23:00:00,7.91,3.15,6.96,-94.15,50,0
2026-01-04 00:00:00,6.62,1.86,5.72,-72.41,50,0
2026-01-04 01:00:00,6.15,1.48,5.26,-69.63,50,0
2026-01-04 02:00:00,6.83,2.19,5.87,-75.64,50,0
2026-01-04 03:00:00,7.88,3.07,6.87,-81.18,50,0
2026-01-04 04:00:00,8.22,3.15,7.14,-81.2,50,0
2026-01-04 05:00:00,7.16,2.15,6.11,-74.51,50,23.65
2026-01-04 06:00:00,8.29,3.4,7.15,-72.57,50,36.71
2026-01-04 07:00:00,9.14,3.84,7.94,-78.11,50,33.26
2026-01-04 08:00:00,9.87,4.69,8.75,-282.58,1060,285.78
2026-01-04 09:00:00,11.03,6.09,9.94,-285.75,1060,408.17
2026-01-04 10:00:00,12.01,6.97,10.9,-291.4,1060,624.92
2026-01-04 11:00:00,12.5,7.37,11.41,-297.54,1060,758.54
2026-01-04 12:00:00,13.26,8.27,12.37,-303.68,1060,801.5
2026-01-04 13:00:00,13.29,8.02,12.26,-301.98,1060,819.91
2026-01-04 14:00:00,13.09,7.35,12.12,-291.07,1060,721.26
2026-01-04 15:00:00,12.69,7.02,11.51,-286.2,1060,601.87
2026-01-04 16:00:00,11.6,6.05,10.33,-276.92,1060,419.15
2026-01-04 17:00:00,11.29,5.81,10.42,-275.18,1060,271.56
2026-01-04 18:00:00,9.52,4.29,8.39,-121.35,50,75.12
2026-01-04 19:00:00,9.01,4.07,7.86,-109.58,50,29.05
2026-01-04 20:00:00,8.03,3.11,6.97,-97.44,50,0
2026-01-04 21:00:00,7.69,2.67,6.56,-95.44,50,0
2026-01-04 22:00:00,7.73,2.85,6.96,-95.39,50,0
2026-01-04 23:00:00,7.92,3.11,6.97,-93.7,50,0
2026-01-05 00:00:00,6.63,1.82,5.73,-71.96,50,0
2026-01-05 01:00:00,6.16,1.44,5.27,-69.18,50,0
2026-01-05 02:00:00,6.84,2.15,5.88,-75.19,50,0
2026-01-05 03:00:00,7.89,3.03,6.88,-80.73,50,0
2026-01-05 04:00:00,8.23,3.11,7.15,-80.75,50,0
2026-01-05 05:00:00,7.17,2.11,6.12,-74.06,50,28.9
2026-01-05 06:00:00,8.3,3.36,7.16,-72.12,50,40.43
2026-01-05 07:00:00,9.15,3.8,7.95,-77.66,50,34.91
2026-01-05 08:00:00,9.88,4.65,8.76,-282.13,1060,290.26
2026-01-05 09:00:00,11.04,6.05,9.95,-285.3,1060,412.96
2026-01-05 10:00:00,12.02,6.93,10.91,-290.95,1060,629.47
2026-01-05 11:00:00,12.51,7.33,11.42,-297.09,1060,762.99
2026-01-05 12:00:00,13.27,8.23,12.38,-303.23,1060,805.8
2026-01-05 13:00:00,13.3,7.98,12.27,-301.53,1060,824.25
2026-01-05 14:00:00,13.1,7.31,12.13,-290.62,1060,725.57
2026-01-05 15:00:00,12.7,6.98,11.52,-285.75,1060,605.83
2026-01-05 16:00:00,11.61,6.01,10.34,-276.47,1060,423.38
2026-01-05 17:00:00,11.3,5.77,10.43,-274.73,1060,275.64
2026-01-05 18:00:00,9.53,4.25,8.4,-120.9,50,79.41
2026-01-05 19:00:00,9.02,4.03,7.87,-109.13,50,33.34
2026-01-05 20:00:00,8.04,3.07,6.98,-96.99,50,0
2026-01-05 21:00:00,7.7,2.63,6.57,-94.99,50,0
2026-01-05 22:00:00,7.74,2.81,6.97,-94.94,50,0
2026-01-05 23:00:00,7.93,3.07,6.98,-93.25,50,0
2026-01-06 00:00:00,6.64,1.78,5.74,-71.51,50,0
2026-01-06 01:00:00,6.17,1.4,5.28,-68.73,50,0
2026-01-06 02:00:00,6.85,2.11,5.89,-74.74,50,0
2026-01-06 03:00:00,7.9,2.99,6.89,-80.28,50,0
2026-01-06 04:00:00,8.24,3.07,7.16,-80.3,50,0
2026-01-06 05:00:00,7.18,2.07,6.13,-73.61,50,33.4
2026-01-06 06:00:00,8.31,3.32,7.17,-71.67,50,44.14
2026-01-06 07:00:00,9.16,3.76,7.96,-77.21,50,36.56
2026-01-06 08:00:00,9.89,4.61,8.77,-281.68,1060,294.74
2026-01-06 09:00:00,11.05,6.01,9.96,-284.85,1060,417.75
2026-01-06 10:00:00,12.03,6.89,10.92,-290.5,1060,634.02
2026-01-06 11:00:00,12.52,7.29,11.43,-296.64,1060,767.44
2026-01-06 12:00:00,13.28,8.19,12.39,-302.78,1060,810.1
2026-01-06 13:00:00,13.31,7.94,12.28,-301.08,1060,828.59
2026-01-06 14:00:00,13.11,7.27,12.14,-290.17,1060,729.88
2026-01-06 15:00:00,12.71,6.94,11.53,-285.3,1060,609.79
2026-01-06 16:00:00,11.62,5.97,10.35,-276.02,1060,427.6
2026-01-06 17:00:00,11.31,5.73,10.44,-274.28,1060,279.72
2026-01-06 18:00:00,9.54,4.21,8.41,-120.45,50,83.69
2026-01-06 19:00:00,9.03,3.99,7.88,-108.68,50,37.63
2026-01-06 20:00:00,8.05,3.03,6.99,-96.54,50,0
2026-01-06 21:00:00,7.71,2.59,6.58,-94.54,50,0
2026-01-06 22:00:00,7.75,2.77,6.98,-94.49,50,0
2026-01-06 23:00:00,7.94,3.03,6.99,-92.8,50,0
2026-01-07 00:00:00,6.65,1.74,5.75,-71.06,50,0
2026-01-07 01:00:00,6.18,1.36,5.29,-68.28,50,0
2026-01-07 02:00:00,6.86,2.07,5.9,-74.29,50,0
2026-01-07 03:00:00,7.91,2.95,6.9,-79.83,50,0
2026-01-07 04:00:00,8.25,3.03,7.17,-79.85,50,0
2026-01-07 05:00:00,7.19,2.03,6.14,-73.16,50,38.15
2026-01-07 06:00:00,8.32,3.28,7.18,-71.22,50,47.86
2026-01-07 07:00:00,9.17,3.72,7.97,-76.76,50,38.21
2026-01-07 08:00:00,9.9,4.57,8.78,-281.23,1060,299.22
2026-01-07 09:00:00,11.06,5.97,9.97,-284.4,1060,422.54
2026-01-07 10:00:00,12.04,6.85,10.93,-290.05,1060,638.57
2026-01-07 11:00:00,12.53,7.25,11.44,-296.19,1060,771.89
2026-01-07 12:00:00,13.29,8.15,12.4,-302.33,1060,814.4
2026-01-07 13:00:00,13.32,7.9,12.29,-300.63,1060,832.93
2026-01-07 14:00:00,13.12,7.23,12.15,-289.72,1060,734.19
2026-01-07 15:00:00,12.72,6.9,11.54,-284.85,1060,613.75
2026-01-07 16:00:00,11.63,5.93,10.36,-275.57,1060,431.82
2026-01-07 17:00:00,11.32,5.69,10.45,-273.83,1060,283.8
2026-01-07 18:00:00,9.55,4.17,8.42,-120,50,87.98
2026-01-07 19:00:00,9.04,3.95,7.89,-108.23,50,41.92
2026-01-07 20:00:00,8.06,2.99,7,-96.09,50,0
2026-01-07 21:00:00,7.72,2.55,6.59,-94.09,50,0
2026-01-07 22:00:00,7.76,2.73,6.99,-94.04,50,0
2026-01-07 23:00:00,7.95,2.99,7,-92.35,50,0
